batch_size,fsc_nomask,fsc_sphericalmask,fsc_loosemask,fsc_tightmask,fsc_noisesub
1000,3.61345,3.397822,3.353027,3.176371,3.172318
1500,3.527686,3.311609,3.234184,3.087301,3.087129
2250,3.420741,3.207343,3.184941,3.040318,3.039041
3375,3.359389,3.164706,3.126173,3.041995,3.044875
5062,3.215116,3.105036,3.07995,3.03011,3.028857
7593,3.207822,3.097767,3.031409,2.94633,2.94698
11389,3.139944,3.052802,2.9649,2.90703,2.903185
17083,3.107264,3.022396,2.933715,2.857384,2.854736
25624,3.046798,2.936369,2.909592,2.857901,2.860223
38436,3.034671,2.907397,2.870198,2.82453,2.826296
39497,3.033193,2.904701,2.871693,2.824639,2.827281
